127.0.0.1 - - [21/Nov/2020:19:46:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Nov/2020:19:46:21 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [21/Nov/2020:19:46:24 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [21/Nov/2020:19:46:34 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [21/Nov/2020:19:46:54 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [21/Nov/2020:21:08:43 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [21/Nov/2020:21:08:50 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [21/Nov/2020:21:08:50 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [21/Nov/2020:21:09:01 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [21/Nov/2020:21:09:44 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [21/Nov/2020:21:09:49 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [21/Nov/2020:21:09:59 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [21/Nov/2020:22:38:50 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [21/Nov/2020:22:38:53 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [21/Nov/2020:22:38:59 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 162
